name,sales,retail_price,average_sale_price,highest_price,lowest_price,release_date,condition
Jordan 1 Mid Triple White (2019), 159, 110, 91, 150, 25, 03/14/2019, New
Jordan XX9 Hare, 147, 225, 104, 150, 80, 05/05/2015, New
Jordan 11 Retro Platinum Tint (GS), 3648, 170, 125, 250, 90, 10/27/2018, New
Jordan 1 Mid SE Lakers (GS), 3043, 100, 159, 350, 95, 02/01/2019, New
Jordan 12 Retro Chinese New Year (2019), 2567, 250, 239, 390, 150, 02/05/2019, New
Jordan 11 Retro Low Golf Concord, 2198, 220, 330, 685, 200, 02/15/2019, New
Jordan 1 Mid Deep Royal Blue Black, 2045, 120, 133, 200, 70, 01/01/2019, New
Jordan 3 Retro Flyknit Black, 1756, 200, 221, 500, 131, 08/15/2018, New
Jordan XXXIII Travis Scott, 1724, 185, 242, 800, 160, 02/14/2019, New
Jordan 9 Retro Dream It Do It, 1722, 190, 192, 360, 120, 03/09/2019, New
Jordan 1 Mid Pink Foam (GS), 1503, 90, 113, 300, 60, 01/01/2019, New
Jordan Legacy 312 Tech Challenge 2 Hot Lava, 1079, 160, 169, 620, 70, 08/11/2018, New
Jordan 11 Retro Neutral Olive (W), 1091, 220, 121, 300, 70, 11/23/2018, New
Jordan 11 Retro Low Concord, 860, 150, 300, 460, 181, 05/03/2014, New
Jordan 12 Retro Deep Royal Blue, 825, 190, 234, 348, 150, 11/12/2016, New
Jordan 4 Retro Toro Bravo, 815, 160, 360, 500, 260, 07/13/2013, New
Jordan 4 Retro Alternate 89, 774, 190, 217, 390, 95, 01/02/2016, New
Jordan 3 Retro Sport Blue, 731, 170, 212, 320, 116, 08/16/2014, New
Jordan 1 Retro Premium Midnight Navy Light Cream (W), 684, 145, 162, 266, 115, 01/17/2019, New
Jordan 6 Retro All Star 2017, 680, 225, 157, 322, 90, 02/19/2017, New
Jordan 1 Retro High Off-White White, 637, 190, 2265, 3648, 1000, 03/03/2018, New
Jordan 10 Retro Double Nickel, 522, 190, 173, 240, 111, 03/28/2015, New
Jordan 5 Retro Fire Red Black Tongue (2013), 472, 160, 209, 306, 150, 08/31/2013, New
Jordan 13 Retro Cap and Gown (GS), 360, 150, 114, 225, 55, 04/27/2019, New
Jordan 11 Retro Low Reverse Concord, 264, 140, 302, 475, 165, 06/08/2013, New
Jordan 4 Retro Bred 2019 (PS), 249, 80, 84, 150, 48, 05/04/2019, New
Jordan 1 Mid South Beach, 5314, 120, 157, 349, 75, 10/01/2018, New
Jordan 12 Retro Winter Black, 3084, 200, 212, 350, 113, 12/15/2018, New
Jordan 5 Retro International Flight, 2941, 190, 148, 262, 85, 08/25/2018, New
Jordan 11 Retro Low Iridescent, 2153, 175, 206, 499, 120, 03/31/2018, New
Jordan 1 Mid Fly (GS), 1236, 100, 117, 175, 55, 03/01/2019, New
Jordan 3 Retro International Flight (GS), 1219, 140, 102, 160, 60, 06/30/2018, New
Jordan 6 Retro Infrared White (2014), 892, 170, 218, 450, 111, 02/15/2014, New
Jordan 1 Retro Yin Yang White, 852, 160, 183, 364, 80, 08/06/2016, New
